Gene	Expt	x	y	neighbour	neighbour_array	neighbour_prob
Cck	5	16301.5115406219	26063.9706568245	86080	[65101, 65110, 65143, 86080]	[2.52513014e-27, 5.807591685e-38, 9.695133872999998e-65, 1.0]
Hapln1	24	16302.5115406219	26451.9706568245	64913	[64913, 65019, 64976, 86080]	[0.9899538304000001, 9.576e-07, 6.670000000000001e-08, 0.0100451453]
Nov	35	16303.5115406219	26055.9706568245	86080	[65101, 65110, 64408, 86080]	[1.864703141e-21, 1.2431616590000001e-45, 6.068818298000001e-68, 1.0]
Cplx2	13	16303.5115406219	26163.9706568245	86080	[65143, 65110, 65560, 86080]	[4.0540000000000005e-06, 1.1000000000000001e-09, 6.3663895709999995e-75, 0.9999959449]
Cadps2	2	16304.5115406219	26130.9706568245	86080	[65110, 65143, 65560, 86080]	[0.0001646045, 2e-10, 1.194512449e-77, 0.9998353953]
Nrn1	39	16304.5115406219	26294.9706568245	86080	[65547, 64476, 65005, 86080]	[3.8651163060000006e-86, 1.5063150130000002e-86, 5.522202179e-89, 1.0]
Cxcl14	18	16304.5115406219	26446.9706568245	64913	[64913, 65019, 65132, 86080]	[0.9992929861000001, 5.4175e-06, 5e-10, 0.0007015959]
Cdh13	6	16304.5115406219	26476.9706568245	64976	[64976, 64913, 65019, 86080]	[0.9952898385000001, 1.1200000000000001e-08, 2.656052302e-19, 0.0047101502]
Lamp5	30	16306.5115406219	26050.9706568245	86080	[65101, 65110, 64408, 86080]	[2.1632917070000002e-17, 7.530589561000001e-50, 2.932933435e-69, 1.0]
Cck	5	16306.5115406219	26075.9706568245	86080	[65110, 65101, 65143, 86080]	[7.106888202e-26, 6.657934405e-36, 8.731023374999999e-49, 1.0]
Rgs4	55	16306.5115406219	26155.9706568245	86080	[65143, 65110, 65560, 86080]	[3.62016e-05, 1.3125000000000001e-06, 2.818278273e-70, 0.9999624859]
Cxcl14	18	16306.5115406219	26459.9706568245	64913	[64913, 64976, 65019, 86080]	[0.7876259311, 0.0012751399, 6.62e-08, 0.2110988628]
Chrm2	8	16307.5115406219	26904.9706568245	86080	[65178, 65358, 65278, 86080]	[6.995918063e-20, 8.266105402000002e-30, 5.1018181759999996e-39, 1.0]
Cplx2	13	16308.5115406219	26081.9706568245	86080	[65110, 65101, 65143, 86080]	[8.264588558999999e-21, 1.707759994e-41, 1.282351524e-41, 1.0]
Rgs4	55	16308.5115406219	26392.9706568245	86080	[65005, 65019, 65132, 86080]	[0.1275301704, 1.0921e-06, 0.0, 0.8724687375]
Rgs4	55	16309.5115406219	26063.9706568245	86080	[65101, 65110, 65143, 86080]	[6.349785271e-25, 1.0371892060000001e-35, 9.346891305e-62, 1.0]
Gad1	21	16309.5115406219	26404.9706568245	65005	[65005, 65019, 65132, 86080]	[0.9634802399000001, 0.0010928111, 3e-10, 0.0354269487]
